,RunningBack,Expected Touchdowns,Actual Touchdowns,Regression Score
70,D.Harris,2.443314742921449,3.0,-0.5566852570785512
74,C.Huntley,2.1828925290434014,1.0,1.1828925290434014
76,M.Ingram,1.9656153394114328,1.0,0.9656153394114328
77,Z.Knight,1.9497568989354739,1.0,0.9497568989354739
78,D.Henderson,1.943849273973041,3.0,-1.056150726026959
79,C.Hubbard,1.9383042894052187,2.0,-0.061695710594781294
82,J.Hasty,1.8223564163874701,2.0,-0.17764358361252985
83,J.Warren,1.8219070637964008,1.0,0.8219070637964008
84,D.Ogunbowale,1.6402186607571305,1.0,0.6402186607571305
86,M.Breida,1.5781606846334824,2.0,-0.42183931536651764
87,J.Cook,1.499316882727664,3.0,-1.500683117272336
88,C.Edmonds,1.4979242484013005,2.0,-0.5020757515986995
91,T.Davis-Price,1.4400164912917943,0.0,1.4400164912917943
92,K.Juszczyk,1.4245087636944413,1.0,0.42450876369444135
93,K.Ingram,1.4148202451687881,1.0,0.4148202451687881
96,M.Brown,1.3622656963110966,1.0,0.3622656963110966
97,R.Blackshear,1.3622038005050485,3.0,-1.6377961994949515
98,J.Jackson,1.3514484618617488,1.0,0.35144846186174883
100,S.Michel,1.2909354692458288,0.0,1.2909354692458288
101,N.Hines,1.2748997481159603,1.0,0.2748997481159603
103,R.Burkhead,1.244031324860038,0.0,1.244031324860038
105,A.Ingold,1.1868414218014158,1.0,0.18684142180141583
106,J.Williams,1.1740838766378188,0.0,1.1740838766378188
107,J.Mason,1.128045258230558,1.0,0.128045258230558
108,M.Davis,1.1225978517030764,0.0,1.1225978517030764
109,D.Jackson,1.1150345259069212,1.0,0.1150345259069212
111,T.Ebner,1.038909526227172,0.0,1.038909526227172
118,C.Ham,0.9375418038193954,2.0,-1.0624581961806046
120,G.Brightwell,0.891421183135508,1.0,-0.108578816864492
122,C.Clement,0.8581954376713045,1.0,-0.14180456232869554
123,D.Williams,0.8316121770373871,1.0,-0.1683878229626129
125,R.Freeman,0.8009354554907608,0.0,0.8009354554907608
126,J.Williams,0.7802586551184864,0.0,0.7802586551184864
129,T.Coleman,0.714240160798725,1.0,-0.285759839201275
131,D.Watt,0.684603934424281,1.0,-0.315396065575719
132,B.Bolden,0.6570665048887399,0.0,0.6570665048887399
134,R.Jones,0.647918333546901,1.0,-0.352081666453099
137,J.Patterson,0.6207288662633622,0.0,0.6207288662633622
142,B.Snell,0.5581720706323696,1.0,-0.4418279293676304
145,R.Penny,0.5210238563702378,2.0,-1.4789761436297622
147,P.Lindsay,0.5074843232759425,0.0,0.5074843232759425
149,P.Strong,0.49122798022183956,1.0,-0.5087720197781604
150,T.Homer,0.4744590880647883,0.0,0.4744590880647883
151,J.Hill,0.47076750990430627,0.0,0.47076750990430627
152,J.Taylor,0.46373514120939163,0.0,0.46373514120939163
153,D.Dallas,0.46293352621262746,0.0,0.46293352621262746
157,M.Davis,0.4365225747362594,1.0,-0.5634774252637407
159,S.Brown,0.430358874002993,0.0,0.430358874002993
161,M.Mack,0.42019030021315024,1.0,-0.5798096997868498
165,S.Conner,0.37111582696258444,1.0,-0.6288841730374155
169,P.Ricard,0.32880111820464697,0.0,0.32880111820464697
172,Z.Horvath,0.30133341433308525,0.0,0.30133341433308525
173,K.Harris,0.2953098927531285,1.0,-0.7046901072468714
175,A.Williams,0.2803584341060848,1.0,-0.7196415658939153
176,T.Johnson,0.277539283299335,1.0,-0.7224607167006649
179,J.Wilkins,0.26558618120049204,0.0,0.26558618120049204
183,S.Ahmed,0.21981144791534546,1.0,-0.7801885520846545
186,C.Reynolds,0.20803922409449305,0.0,0.20803922409449305
189,M.Boone,0.19844130743380975,0.0,0.19844130743380975
190,J.McKissic,0.1853286738468274,0.0,0.1853286738468274
192,D.Johnson,0.17784685114422588,0.0,0.17784685114422588
193,K.Williams,0.16638833774681167,0.0,0.16638833774681167
196,G.Bernard,0.15840959770862487,0.0,0.15840959770862487
198,Z.White,0.15287872792333537,0.0,0.15287872792333537
204,A.Abdullah,0.13127668887382826,0.0,0.13127668887382826
205,J.Chestnut,0.1255825938642246,0.0,0.1255825938642246
208,P.Taylor,0.1193781888530225,0.0,0.1193781888530225
210,D.Washington,0.11591663281569645,0.0,0.11591663281569645
212,K.Vaughn,0.11444673702724804,0.0,0.11444673702724804
213,D.Hilliard,0.11381356617792486,0.0,0.11381356617792486
214,H.Haskins,0.11032099947292856,0.0,0.11032099947292856
216,A.McFarland,0.09494851640476037,0.0,0.09494851640476037
219,A.Prentice,0.09039742261459316,0.0,0.09039742261459316
223,D.Evans,0.0801834763505037,0.0,0.0801834763505037
234,I.Spiller,0.06602477494823382,0.0,0.06602477494823382
236,K.Nwangwu,0.06370950337358147,0.0,0.06370950337358147
237,D.Johnson,0.06270848461018129,0.0,0.06270848461018129
242,M.Burton,0.05998912786977512,0.0,0.05998912786977512
243,T.Williams,0.05844800078639589,0.0,0.05844800078639589
248,D.Johnson,0.05347413529231711,0.0,0.05347413529231711
249,R.Rivers,0.053055742060754106,0.0,0.053055742060754106
253,D.Ozigbo,0.0505869245157346,0.0,0.0505869245157346
254,G.Igwebuike,0.0505202961085408,0.0,0.0505202961085408
255,L.Rountree,0.04909476943619366,0.0,0.04909476943619366
259,M.Gaskin,0.04619838004762122,0.0,0.04619838004762122
260,J.Ford,0.04501189041586144,0.0,0.04501189041586144
262,T.Jones,0.04233283980814987,0.0,0.04233283980814987
279,D.Felton,0.026234567901234566,0.0,0.026234567901234566
289,T.Chandler,0.01775331330208049,0.0,0.01775331330208049
293,T.Sermon,0.01653034644438656,0.0,0.01653034644438656
300,J.Ward,0.01320174906027475,0.0,0.01320174906027475
302,K.Hill,0.012893982808022923,0.0,0.012893982808022923
318,R.Bonnafon,0.007254398713627508,0.0,0.007254398713627508
326,J.Cabinda,0.005997001499250375,0.0,0.005997001499250375
342,D.Williams,0.003926273717367725,0.0,0.003926273717367725
350,T.Badie,0.002932551319648094,0.0,0.002932551319648094
361,K.Smith,0.002173913043478261,0.0,0.002173913043478261
367,J.Howard,0.0007847753580537571,0.0,0.0007847753580537571
